type,length,azimuth,dip_azimuth,dip,kine,aperture,source
Fracture,82,144,,,,,dem
Fracture,41,138,,,,,dem
Fracture,50,140,,,,,dem
Fracture,10,126,,,,,dem
Fracture,60,107,,,,,dem
Fracture,62,73,,,,,dem
Fracture,24,81,,,,,dem
Fracture,45,69,,,,,dem
Fracture,18,96,,,,,dem
Fracture,54,86,,,,,dem
Fracture,38,88,,,,,dem
Fracture,44,92,,,,,dem
Fracture,54,123,,,,,dem
Fracture,82,58,,,,,dem
Fracture,192,87,,,,,dem
Fracture,9,82,,,,,dem
Fracture,23,61,,,,,dem
Fracture,14,177,,,,,dem
Fracture,50,2,,,,,dem
Fracture,64,58,,,,,dem
Fracture,87,57,,,,,dem
Fracture,42,6,,,,,dem
Fracture,71,123,,,,,dem
Fracture,189,68,,,,,dem
Fracture,55,38,,,,,dem
Fracture,23,62,,,,,dem
Fracture,47,94,,,,,dem
Fracture,67,95,,,,,dem
Fracture,61,94,,,,,dem
Fracture,36,68,,,,,dem
Fracture,74,152,,,,,dem
Fracture,19,86,,,,,dem
Fracture,36,88,,,,,dem
Fracture,13,70,,,,,dem
Fracture,50,34,,,,,dem
Fracture,18,26,,,,,dem
Fracture,100,83,,,,,dem
Fracture,12,77,,,,,dem
Fracture,111,80,,,,,dem
Fracture,49,139,,,,,dem
Fracture,38,72,,,,,dem
Fracture,65,80,,,,,dem
Fracture,30,76,,,,,dem
Fracture,21,99,,,,,dem
Fracture,50,97,,,,,dem
Fracture,11,125,,,,,dem
Fracture,39,92,,,,,dem
Fracture,127,109,,,,,dem
Fracture,199,70,,,,,dem
Fracture,164,65,,,,,dem
Fracture,102,80,,,,,dem
Fracture,52,60,,,,,dem
Fracture,34,75,,,,,dem
Fracture,27,75,,,,,dem
Fracture,51,82,,,,,dem
Fracture,28,30,,,,,dem
Fracture,26,138,,,,,dem
Fracture,33,82,,,,,dem
Fracture,49,81,,,,,dem
Fracture,18,46,,,,,dem
Fracture,75,142,,,,,dem
Fracture,63,79,,,,,dem
Fracture,9,85,,,,,dem
Fracture,43,87,,,,,dem
Fracture,19,78,,,,,dem
Fracture,26,90,,,,,dem
Fracture,23,83,,,,,dem
Fracture,28,87,,,,,dem
Fracture,57,84,,,,,dem
Fracture,23,37,,,,,dem
Fracture,39,140,,,,,dem
Fracture,38,82,,,,,dem
Fracture,62,86,,,,,dem
Fracture,12,84,,,,,dem
Fracture,48,103,,,,,dem
Fracture,29,108,,,,,dem
Fracture,30,82,,,,,dem
Fracture,17,95,,,,,dem
Fracture,42,94,,,,,dem
Fracture,59,80,,,,,dem
Fracture,61,101,,,,,dem
Fracture,73,80,,,,,dem
Fracture,42,79,,,,,dem
Fracture,39,78,,,,,dem
Fracture,83,97,,,,,dem
Fracture,44,99,,,,,dem
Fracture,36,70,,,,,dem
Fracture,24,101,,,,,dem
Fracture,31,84,,,,,dem
Fracture,53,79,,,,,dem
Fracture,32,96,,,,,dem
Fracture,10,42,,,,,dem
Fracture,104,90,,,,,dem
Fracture,36,91,,,,,dem
Fracture,212,87,,,,,dem
Fracture,57,93,,,,,dem
Fracture,54,76,,,,,dem
Fracture,53,96,,,,,dem
Fracture,197,75,,,,,dem
Fracture,93,71,,,,,dem
Fracture,31,20,,,,,dem
Fracture,14,145,,,,,dem
Fracture,36,87,,,,,dem
Fracture,49,86,,,,,dem
Fracture,40,50,,,,,dem
Fracture,23,133,,,,,dem
Fracture,66,103,,,,,dem
Fracture,36,81,,,,,dem
Fracture,38,91,,,,,dem
Fracture,20,81,,,,,dem
Fracture,20,88,,,,,dem
Fracture,31,152,,,,,dem
Fracture,54,148,,,,,dem
Fracture,40,115,,,,,dem
Fracture,62,58,,,,,dem
Fracture,128,130,,,,,dem
Fracture,82,146,,,,,dem
Fracture,171,130,,,,,dem
Fracture,103,43,,,,,dem
Fracture,74,113,,,,,dem
Fracture,55,81,,,,,dem
Fracture,80,106,,,,,dem
Fracture,73,63,,,,,dem
Fracture,47,112,,,,,dem
Fracture,35,84,,,,,dem
Fracture,57,93,,,,,dem
Fracture,58,124,,,,,dem
Fracture,89,117,,,,,dem
Fracture,19,134,,,,,dem
Fracture,60,179,,,,,dem
Fracture,70,91,,,,,dem
Fracture,64,102,,,,,dem
Fracture,57,90,,,,,dem
Fracture,49,82,,,,,dem
Fracture,31,153,,,,,dem
Fracture,30,52,,,,,dem
Fracture,17,143,,,,,dem
Fracture,26,153,,,,,dem
Fracture,99,44,,,,,dem
Fracture,8,137,,,,,dem
Fracture,18,51,,,,,dem
Fracture,31,51,,,,,dem
Fracture,24,75,,,,,dem
Fracture,22,39,,,,,dem
Fracture,21,94,,,,,dem
Fracture,83,90,,,,,dem
Fracture,121,49,,,,,dem
Fracture,12,54,,,,,dem
Fracture,16,89,,,,,dem
Fracture,5,48,,,,,dem
Fracture,117,96,,,,,dem
Fracture,54,50,,,,,dem
Fracture,73,56,,,,,dem
Fracture,51,87,,,,,dem
Fracture,22,94,,,,,dem
Fracture,38,67,,,,,dem
Fracture,85,156,,,,,dem
Fracture,27,68,,,,,dem
Fracture,10,30,,,,,dem
Fracture,26,153,,,,,dem
Fracture,21,95,,,,,dem
Fracture,132,85,,,,,dem
Fracture,35,95,,,,,dem
Fracture,31,99,,,,,dem
Fracture,34,90,,,,,dem
Fracture,32,106,,,,,dem
Fracture,38,69,,,,,dem
Fracture,27,96,,,,,dem
Fracture,59,127,,,,,dem
Fracture,14,99,,,,,dem
Fracture,23,63,,,,,dem
Fracture,8,101,,,,,dem
Fracture,15,121,,,,,dem
Fracture,31,54,,,,,dem
Fracture,20,73,,,,,dem
Fracture,91,97,,,,,dem
Fracture,33,154,,,,,dem
Fracture,75,101,,,,,dem
Fracture,48,52,,,,,dem
Fracture,65,23,,,,,dem
Fracture,71,13,,,,,dem
Fracture,24,93,,,,,dem
Fracture,36,85,,,,,dem
Fracture,64,100,,,,,dem
Fracture,42,91,,,,,dem
Fracture,30,82,,,,,dem
Fracture,29,21,,,,,dem
Fracture,20,165,,,,,dem
Fracture,54,94,,,,,dem
Fracture,59,106,,,,,dem
Fracture,29,91,,,,,dem
Fracture,74,16,,,,,dem
Fracture,13,170,,,,,dem
Fracture,95,12,,,,,dem
Fracture,75,18,,,,,dem
Fracture,37,97,,,,,dem
Fracture,98,87,,,,,dem
Fracture,22,78,,,,,dem
Fracture,27,88,,,,,dem
Fracture,14,92,,,,,dem
Fracture,41,50,,,,,dem
Fracture,26,118,,,,,dem
Fracture,58,93,,,,,dem
Fracture,96,96,,,,,dem
Fracture,22,86,,,,,dem
Fracture,21,78,,,,,dem
Fracture,66,100,,,,,dem
Fracture,55,111,,,,,dem
Fracture,27,74,,,,,dem
Fracture,70,82,,,,,dem
Fracture,26,77,,,,,dem
Fracture,78,93,,,,,dem
Fracture,37,84,,,,,dem
Fracture,15,19,,,,,dem
Fracture,25,54,,,,,dem
Fracture,14,103,,,,,dem
Fracture,36,70,,,,,dem
Fracture,40,80,,,,,dem
Fracture,58,74,,,,,dem
Fracture,52,78,,,,,dem
Fracture,50,38,,,,,dem
Fracture,84,91,,,,,dem
Fracture,28,99,,,,,dem
Fracture,16,45,,,,,dem
Fracture,26,63,,,,,dem
Fracture,55,81,,,,,dem
Fracture,30,46,,,,,dem
Fracture,108,70,,,,,dem
Fracture,63,63,,,,,dem
Fracture,69,66,,,,,dem
Fracture,22,45,,,,,dem
Fracture,90,119,,,,,dem
Fracture,71,106,,,,,dem
Fracture,25,50,,,,,dem
Fracture,28,136,,,,,dem
Fracture,32,143,,,,,dem
Fracture,40,123,,,,,dem
Fracture,44,50,,,,,dem
Fracture,42,76,,,,,dem
Fracture,50,148,,,,,dem
Fracture,92,78,,,,,dem
Fracture,81,88,,,,,dem
Fracture,10,86,,,,,dem
Fracture,13,127,,,,,dem
Fracture,103,151,,,,,dem
Fracture,193,105,,,,,dem
Fracture,100,77,,,,,dem
Fracture,27,153,,,,,dem
Fracture,41,97,,,,,dem
Fracture,7,156,,,,,dem
Fracture,26,81,,,,,dem
Fracture,33,62,,,,,dem
Fracture,15,47,,,,,dem
Fracture,50,60,,,,,dem
Fracture,56,92,,,,,dem
Fracture,94,73,,,,,dem
Fracture,19,86,,,,,dem
Fracture,39,83,,,,,dem
Fracture,26,89,,,,,dem
Fracture,36,91,,,,,dem
Fracture,21,84,,,,,dem
Fracture,94,116,,,,,dem
Fracture,12,56,,,,,dem
Fracture,31,78,,,,,dem
Fracture,8,35,,,,,dem
Fracture,7,140,,,,,dem
Fracture,33,99,,,,,dem
Fracture,28,90,,,,,dem
Fracture,14,45,,,,,dem
Fracture,245,107,,,,,dem
Fracture,97,96,,,,,dem
Fracture,17,88,,,,,dem
Fracture,43,174,,,,,dem
Fracture,28,102,,,,,dem
Fracture,45,144,,,,,dem
Fracture,58,107,,,,,dem
Fracture,14,104,,,,,dem
Fracture,59,104,,,,,dem
Fracture,22,104,,,,,dem
Fracture,70,114,,,,,dem
Fracture,110,102,,,,,dem
Fracture,54,154,,,,,dem
Fracture,35,101,,,,,dem
Fracture,20,156,,,,,dem
Fracture,15,130,,,,,dem
Fracture,32,174,,,,,dem
Fracture,48,162,,,,,dem
Fracture,60,92,,,,,dem
Fracture,91,10,,,,,dem
Fracture,71,150,,,,,dem
Fracture,12,142,,,,,dem
Fracture,50,155,,,,,dem
Fracture,27,90,,,,,dem
Fracture,47,62,,,,,dem
Fracture,19,176,,,,,dem
Fracture,27,171,,,,,dem
Fracture,122,69,,,,,dem
Fracture,46,6,,,,,dem
Fracture,78,160,,,,,dem
Fracture,9,25,,,,,dem
Fracture,64,135,,,,,dem
Fracture,21,28,,,,,dem
Fracture,79,25,,,,,dem
Fracture,130,57,,,,,dem
Fracture,40,88,,,,,dem
Fracture,61,75,,,,,dem
Fracture,132,87,,,,,dem
Fracture,29,93,,,,,dem
Fracture,84,149,,,,,dem
Fracture,86,91,,,,,dem
Fracture,37,139,,,,,dem
Fracture,71,85,,,,,dem
Fracture,74,101,,,,,dem
Fracture,15,131,,,,,dem
Fracture,11,152,,,,,dem
Fracture,48,98,,,,,dem
Fracture,42,86,,,,,dem
Fracture,46,29,,,,,dem
Fracture,106,75,,,,,dem
Fracture,81,11,,,,,dem
Fracture,96,112,,,,,dem
Fracture,15,126,,,,,dem
Fracture,32,133,,,,,dem
Fracture,164,77,,,,,dem
Fracture,31,154,,,,,dem
Fracture,87,90,,,,,dem
Fracture,15,88,,,,,dem
Fracture,29,6,,,,,dem
Fracture,82,50,,,,,dem
Fracture,25,79,,,,,dem
Fracture,56,163,,,,,dem
Fracture,46,63,,,,,dem
Fracture,28,66,,,,,dem
Fracture,27,118,,,,,dem
Fracture,114,98,,,,,dem
Fracture,16,50,,,,,dem
Fracture,84,86,,,,,dem
Fracture,10,47,,,,,dem
Fracture,129,94,,,,,dem
Fracture,32,53,,,,,dem
Fracture,13,45,,,,,dem
Fracture,81,51,,,,,dem
Fracture,123,73,,,,,dem
Fracture,24,50,,,,,dem
Fracture,101,81,,,,,dem
Fracture,23,51,,,,,dem
Fracture,128,49,,,,,dem
Fracture,39,71,,,,,dem
Fracture,24,92,,,,,dem
Fracture,59,46,,,,,dem
Fracture,15,47,,,,,dem
Fracture,31,149,,,,,dem
Fracture,30,50,,,,,dem
Fracture,42,151,,,,,dem
Fracture,81,45,,,,,dem
Fracture,50,7,,,,,dem
